Part;Value;Device;Package;Description;MF;MPN;OC_FARNELL;OC_NEWARK
BDM;BDM;MA03-2;MA03-2;PIN HEADER;;;unknown;unknown
C1;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;
C2;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;
C3;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;
C4;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;
C5;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;
C9;47uF x 25V;CPOL-EUE2,5-6E;E2,5-6E;POLARIZED CAPACITOR, European symbol;;;;
C10;47uF x 16V;CPOL-EUE2,5-6E;E2,5-6E;POLARIZED CAPACITOR, European symbol;;;;
C11;47uF x 16V;CPOL-EUE2,5-6E;E2,5-6E;POLARIZED CAPACITOR, European symbol;;;;
C12;47uF x 16V;CPOL-EUE2,5-6E;E2,5-6E;POLARIZED CAPACITOR, European symbol;;;;
C13;47uF x 16V;CPOL-EUE2,5-6E;E2,5-6E;POLARIZED CAPACITOR, European symbol;;;;
D1;1N5819-B;1N5819-B;DO41-7.6;1.0A SCHOTTKY BARRIER RECTIFIER;;;;
D2;1N5819-B;1N5819-B;DO41-7.6;1.0A SCHOTTKY BARRIER RECTIFIER;;;;
D3;1N5819-B;1N5819-B;DO41-7.6;1.0A SCHOTTKY BARRIER RECTIFIER;;;;
IC1;LM2940;7805TV;TO220V;Positive VOLTAGE REGULATOR;;;;
IC2;LTC485S;LTC485S;SOIC8;Low Power RS485 Interface Transceiver;;;unknown;unknown
IC3;SH8;DIL20;DIL20;Dual In Line / Socket;;;;
J1;central;AK300/4;AK300/4;CONNECTOR;;;unknown;unknown
J2;sensor;AK300/4;AK300/4;CONNECTOR;;;unknown;unknown
R1;10k;R-US_R0805;R0805;RESISTOR, American symbol;;;;
R2;120;R-US_R0805;R0805;RESISTOR, American symbol;;;;
R3;100;R-US_R0805;R0805;RESISTOR, American symbol;;;;
R4;100;R-US_R0805;R0805;RESISTOR, American symbol;;;;
R5;100;R-US_R0805;R0805;RESISTOR, American symbol;;;;
R6;4k7;R-US_R0805;R0805;RESISTOR, American symbol;;;;
R7;4k7;R-US_R0805;R0805;RESISTOR, American symbol;;;;
R8;4k7;R-US_R0805;R0805;RESISTOR, American symbol;;;;
T1;BC846;BC846;SOT23;NPN TRANSISTOR;;;;
T2;BC846;BC846;SOT23;NPN TRANSISTOR;;;;
T3;BC846;BC846;SOT23;NPN TRANSISTOR;;;;
